anios	trabajo	estado	contacto	mes	dia	cambios	problemas	cantidad
26	administrator	single	telephone	apr	fri	52	6	5099.1
50	retired	married	cellular	jul	wed	128	1	5228.1
32	teacher	married	telephone	may	tue	60	1	5191
54	management	married	cellular	aug	wed	171	3	4991.6
33	administrator	single	telephone	jun	tue	162	7	5228.1
33	teacher	single	cellular	may	wed	331	3	5099.1
37	teacher	married	cellular	jul	thu	413	4	5228.1
31	administrator	married	cellular	aug	thu	67	1	5228.1
49	administrator	married	telephone	jun	wed	135	3	5228.1
28	administrator	single	telephone	may	mon	87	2	5191
36	teacher	married	telephone	may	fri	189	2	5191
47	technician	married	cellular	jul	wed	239	2	5228.1
35	administrator	married	cellular	nov	wed	47	1	5195.8
58	administrator	married	telephone	aug	thu	60	1	5228.1
51	unemployed	divorced	cellular	nov	thu	1166	1	5195.8
38	technician	married	cellular	apr	thu	110	1	5099.1
51	technician	married	cellular	jul	wed	89	1	5228.1
53	technician	married	cellular	jul	thu	144	1	5228.1
25	student	single	cellular	may	tue	700	3	5099.1
56	services	single	cellular	nov	fri	290	6	5195.8
39	teacher	single	cellular	apr	thu	311	2	5099.1
41	entrepreneur	single	cellular	jul	thu	71	1	5228.1
54	teacher	married	cellular	aug	mon	56	4	5228.1
29	technician	single	cellular	aug	mon	26	9	5228.1
42	teacher	married	cellular	oct	wed	287	1	5017.5
32	administrator	married	cellular	aug	fri	122	2	5228.1
29	teacher	divorced	cellular	may	fri	144	1	5099.1
31	services	married	telephone	may	fri	332	2	5191
38	technician	married	telephone	may	wed	216	1	5191
33	independent	single	telephone	aug	wed	79	4	5228.1
52	management	married	telephone	jun	fri	303	2	5076.2
36	technician	single	telephone	may	wed	86	1	5191
53	unemployed	married	telephone	may	thu	202	1	5191
48	administrator	married	cellular	aug	thu	62	1	5228.1
37	teacher	married	cellular	apr	mon	17	6	5099.1
51	management	married	cellular	aug	tue	138	1	5076.2
56	administrator	married	cellular	aug	wed	338	2	5076.2
27	teacher	single	telephone	jun	wed	298	2	5228.1
48	administrator	divorced	cellular	jul	fri	409	2	5076.2
59	teacher	married	cellular	jul	tue	85	5	5228.1
39	unemployed	single	telephone	may	tue	405	1	5191
71	retired	married	telephone	nov	tue	383	1	5017.5
32	teacher	married	cellular	may	thu	196	2	5099.1
39	technician	married	cellular	aug	fri	49	1	5228.1
35	teacher	married	cellular	may	wed	500	1	5099.1
51	administrator	married	cellular	nov	tue	271	1	5195.8
42	administrator	married	cellular	jul	thu	219	6	5228.1
31	technician	divorced	telephone	may	thu	453	2	5191
54	management	married	cellular	jul	wed	71	6	5228.1
53	administrator	married	cellular	may	mon	181	2	5099.1
34	services	single	telephone	nov	mon	62	2	5195.8
36	administrator	married	cellular	aug	mon	83	3	5228.1
46	management	married	cellular	may	thu	84	3	5099.1
34	administrator	single	cellular	aug	mon	72	2	5228.1
33	administrator	married	cellular	jul	fri	595	2	5228.1
45	services	married	cellular	aug	mon	213	2	5228.1
54	teacher	divorced	cellular	jul	fri	223	2	5228.1
23	student	single	telephone	jun	mon	434	1	4991.6
36	teacher	married	cellular	apr	fri	1064	3	5099.1
53	administrator	married	cellular	nov	wed	291	2	5195.8
29	services	single	cellular	may	mon	14	8	5099.1
30	teacher	married	telephone	may	fri	142	3	5099.1
30	technician	married	cellular	jul	mon	41	2	5228.1
33	administrator	married	telephone	nov	mon	83	4	5017.5
41	technician	single	cellular	aug	tue	87	3	5228.1
50	teacher	married	telephone	jun	tue	103	2	5228.1
32	management	married	telephone	may	wed	230	8	5191
52	entrepreneur	married	telephone	jun	mon	699	2	5228.1
47	services	married	telephone	jun	fri	150	2	5228.1
29	technician	married	cellular	jul	thu	189	1	5228.1
41	administrator	single	telephone	jun	wed	168	1	5228.1
38	teacher	married	telephone	jun	wed	382	3	5228.1
44	entrepreneur	married	cellular	aug	wed	312	1	5228.1
54	technician	single	cellular	may	thu	333	1	5099.1
42	administrator	single	cellular	aug	mon	245	2	4991.6
40	entrepreneur	married	telephone	jun	thu	561	3	5228.1
38	entrepreneur	married	cellular	jun	tue	189	1	4991.6
38	technician	single	cellular	may	mon	29	5	5099.1
32	administrator	single	cellular	aug	thu	51	2	5228.1
41	housemaid	married	cellular	aug	tue	56	2	5228.1
35	administrator	single	telephone	may	fri	218	1	5191
44	administrator	divorced	cellular	aug	wed	12	14	5228.1
50	technician	married	telephone	may	thu	756	1	5191
20	technician	single	cellular	jun	mon	441	1	5076.2
57	independent	married	cellular	aug	mon	932	2	5228.1
43	administrator	single	cellular	aug	thu	153	5	5228.1
34	management	divorced	telephone	may	tue	208	1	5191
20	student	single	cellular	apr	thu	209	1	5099.1
38	teacher	single	cellular	jul	mon	730	8	5228.1
74	retired	divorced	cellular	jul	wed	106	2	4991.6
25	independent	single	telephone	may	mon	78	2	5191
53	services	divorced	cellular	apr	thu	653	1	5099.1
54	management	married	cellular	apr	thu	121	1	5099.1
34	management	single	cellular	nov	wed	201	2	5195.8
85	retired	married	cellular	aug	tue	140	1	5076.2
32	teacher	married	cellular	may	wed	459	1	5099.1
26	teacher	married	cellular	may	thu	649	2	5099.1
48	technician	married	telephone	oct	tue	200	2	5017.5
38	administrator	married	telephone	jun	wed	180	2	5228.1
32	technician	single	cellular	may	tue	361	2	5099.1
32	services	married	telephone	may	tue	89	2	5191
31	services	married	cellular	may	tue	398	6	5099.1
34	technician	married	cellular	may	fri	81	2	5099.1
35	entrepreneur	married	telephone	may	thu	253	2	5191
37	administrator	married	cellular	may	fri	685	1	5099.1
42	technician	married	telephone	jun	fri	4	20	5228.1
32	administrator	married	cellular	jul	thu	434	2	5228.1
42	administrator	married	cellular	may	tue	111	1	5099.1
56	teacher	married	telephone	may	thu	151	2	5191
29	administrator	married	cellular	jul	thu	468	3	5228.1
52	teacher	married	cellular	aug	tue	31	6	5228.1
43	teacher	married	telephone	may	wed	396	2	5191
46	retired	married	telephone	jun	mon	550	3	5228.1
34	administrator	married	telephone	may	mon	165	2	5191
41	teacher	married	telephone	may	tue	73	2	5191
36	administrator	divorced	telephone	may	thu	33	4	5191
37	administrator	married	telephone	jul	mon	1009	5	5228.1
43	housemaid	married	cellular	jul	wed	96	1	5228.1
34	technician	single	cellular	aug	wed	211	1	5076.2
43	teacher	single	telephone	jun	wed	354	21	5228.1
37	entrepreneur	married	cellular	nov	thu	68	1	5195.8
25	administrator	married	telephone	jun	fri	109	1	5228.1
42	teacher	married	telephone	may	tue	256	4	5099.1
26	technician	single	cellular	jul	wed	161	1	5228.1
25	independent	single	telephone	jun	mon	178	7	5228.1
33	administrator	married	cellular	aug	thu	361	1	4991.6
42	teacher	married	telephone	may	wed	191	4	5191
43	independent	divorced	telephone	jun	tue	363	4	5228.1
40	technician	single	cellular	may	fri	320	1	5099.1
36	teacher	single	telephone	jun	tue	275	1	5228.1
32	teacher	single	telephone	jun	mon	156	1	5228.1
52	unemployed	married	telephone	jun	thu	90	5	5228.1
27	technician	married	telephone	jul	wed	36	15	5228.1
32	management	single	cellular	may	mon	61	4	5099.1
35	technician	single	cellular	jul	wed	128	2	5228.1
32	administrator	single	cellular	may	fri	18	8	5099.1
53	teacher	married	cellular	aug	thu	195	1	5228.1
48	management	married	cellular	oct	wed	301	1	5017.5
29	technician	married	cellular	nov	thu	179	1	5195.8
57	administrator	single	cellular	jul	tue	69	1	5228.1
39	teacher	divorced	telephone	may	tue	163	3	5191
32	administrator	divorced	cellular	aug	tue	128	6	5228.1
40	teacher	married	telephone	nov	thu	160	1	5195.8
42	teacher	married	cellular	apr	mon	178	5	5099.1
34	teacher	married	telephone	may	wed	1302	3	5099.1
49	administrator	married	telephone	may	fri	731	4	5191
50	teacher	divorced	telephone	nov	tue	301	2	4963.6
41	management	married	cellular	nov	wed	140	1	5195.8
47	teacher	married	cellular	may	fri	168	2	5099.1
26	student	single	telephone	aug	wed	127	1	5076.2
25	student	single	telephone	sep	mon	131	1	4963.6
33	teacher	married	cellular	apr	mon	52	2	5099.1
33	teacher	divorced	telephone	jul	wed	155	2	5228.1
57	teacher	divorced	cellular	jul	tue	485	1	5228.1
52	teacher	married	cellular	jul	thu	212	3	5228.1
33	administrator	married	cellular	jul	tue	183	5	5228.1
36	management	married	telephone	jun	fri	49	5	5228.1
52	management	married	cellular	may	tue	1100	3	5099.1
26	independent	single	cellular	jun	fri	175	2	5076.2
33	technician	married	telephone	jul	mon	9	17	5228.1
53	teacher	married	cellular	apr	mon	208	2	5099.1
32	technician	married	cellular	nov	wed	352	4	5195.8
28	services	married	telephone	may	fri	143	1	5191
47	teacher	married	cellular	jun	tue	544	1	4991.6
34	administrator	married	telephone	may	fri	172	2	5191
27	administrator	married	cellular	jul	mon	290	2	5228.1
32	administrator	single	cellular	nov	thu	40	1	5195.8
32	administrator	divorced	telephone	may	wed	315	2	5191
54	technician	married	cellular	aug	tue	41	2	5076.2
39	administrator	married	cellular	jul	fri	743	13	5228.1
48	retired	divorced	telephone	may	fri	219	2	5191
57	independent	married	telephone	may	tue	446	2	5191
39	teacher	single	telephone	jul	thu	9	21	5228.1
43	administrator	divorced	cellular	apr	thu	448	2	5099.1
27	teacher	married	telephone	may	thu	438	2	5191
46	administrator	single	cellular	aug	thu	329	2	4991.6
39	management	married	cellular	may	thu	162	1	5099.1
35	technician	single	telephone	nov	fri	160	1	5195.8
34	technician	single	cellular	jul	tue	173	1	5228.1
24	teacher	single	cellular	jul	fri	191	3	5228.1
34	management	married	telephone	may	fri	66	2	5191
24	services	single	cellular	jul	thu	113	6	5228.1
31	entrepreneur	single	telephone	jul	thu	15	1	5228.1
35	independent	married	telephone	may	wed	206	3	5191
34	administrator	single	cellular	may	fri	217	6	5099.1
35	services	single	cellular	jul	tue	520	1	5228.1
32	technician	married	cellular	jul	thu	182	1	5228.1
31	management	married	cellular	aug	thu	166	2	5228.1
51	administrator	married	cellular	jul	wed	426	3	5228.1
34	independent	married	cellular	nov	wed	905	1	5195.8
28	teacher	single	cellular	may	tue	585	1	5099.1
41	administrator	married	cellular	nov	wed	392	1	5195.8
36	teacher	married	cellular	may	wed	951	3	5099.1
27	teacher	single	cellular	jul	thu	83	1	5228.1
34	technician	married	cellular	may	mon	347	1	5099.1
27	administrator	divorced	telephone	may	tue	290	4	5191
50	teacher	married	cellular	jul	thu	16	1	5228.1
29	management	single	cellular	mar	mon	154	2	5008.7
39	technician	single	cellular	aug	mon	129	2	5228.1
75	retired	married	cellular	mar	mon	293	2	5008.7
31	administrator	divorced	telephone	may	mon	170	2	5191
27	teacher	single	telephone	jun	thu	869	2	5228.1
42	teacher	married	cellular	may	tue	442	2	5099.1
45	technician	married	telephone	may	tue	168	3	5191
40	technician	married	telephone	may	tue	34	3	5191
44	teacher	married	telephone	may	wed	607	1	5191
22	services	single	telephone	jun	mon	94	2	5076.2
29	technician	single	cellular	jun	thu	176	1	5076.2
45	administrator	married	cellular	jul	fri	172	2	5228.1
43	teacher	married	cellular	may	mon	487	1	5099.1
55	technician	married	telephone	may	tue	73	1	5191
45	entrepreneur	married	cellular	may	mon	211	5	5099.1
33	teacher	married	cellular	nov	wed	419	5	5195.8
39	technician	single	telephone	may	tue	15	1	5099.1
35	teacher	married	cellular	nov	thu	198	2	5195.8
27	technician	single	cellular	jun	tue	130	2	4991.6
46	services	married	cellular	apr	mon	124	4	5099.1
45	management	married	cellular	apr	thu	452	2	5099.1
60	administrator	married	telephone	sep	wed	61	3	5017.5
42	technician	divorced	cellular	aug	tue	265	11	5228.1
36	technician	single	cellular	aug	wed	208	2	5228.1
38	entrepreneur	married	telephone	jun	mon	822	1	5228.1
38	teacher	married	telephone	may	wed	471	5	5191
24	services	single	cellular	apr	fri	1426	2	5099.1
52	teacher	married	telephone	jun	thu	112	2	5228.1
40	administrator	married	telephone	jun	thu	185	1	5228.1
37	technician	married	telephone	may	wed	360	2	5191
39	administrator	married	cellular	may	mon	303	3	5099.1
34	administrator	married	cellular	nov	tue	140	2	5195.8
42	management	married	telephone	may	wed	109	3	5191
27	student	single	cellular	oct	fri	512	1	4963.6
30	student	single	telephone	may	wed	166	4	5191
31	administrator	single	cellular	jul	wed	91	1	4991.6
37	services	married	cellular	apr	mon	1010	3	5099.1
56	administrator	divorced	telephone	may	tue	196	3	5191
40	management	divorced	cellular	may	fri	342	2	5099.1
18	student	single	cellular	may	fri	251	1	5099.1
47	teacher	married	telephone	jun	tue	388	9	5228.1
37	teacher	single	cellular	nov	mon	128	1	5017.5
53	management	single	cellular	jul	wed	76	5	5228.1
35	teacher	married	cellular	nov	wed	220	2	5195.8
45	technician	married	telephone	jul	wed	20	5	5228.1
28	independent	single	telephone	may	thu	409	3	5191
34	teacher	married	cellular	apr	fri	218	1	5099.1
34	management	married	telephone	may	mon	102	1	5191
30	administrator	married	cellular	jul	fri	1164	2	5228.1
51	housemaid	married	cellular	jul	tue	209	3	5228.1
56	entrepreneur	divorced	telephone	jun	mon	311	1	5228.1
55	teacher	married	cellular	jun	mon	271	2	5076.2
24	administrator	single	cellular	jul	wed	100	3	5228.1
45	technician	single	cellular	may	tue	146	2	5008.7
